datetime,aqi,pm2_5,pm10,co,no2,o3,so2,month,quarter,hour,season,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2017-11-15 23:00:00,53.0,26.0,56.0,0.8,54.0,5.0,7.0,11,4,23,fall,0.992279052734,-7.934169769289999,-12.110076904300001,102153.265625,-24.8499603271,-10.5954046249,-18.0485172272,23.3640480042,12.9685125351,29.459655761700002,-0.559614241123,-56.1500091553,1.9855614900599998,-2.40644288063,1.8997802734400002,17.0,44.899883270299995,-16.9508361816
2017-11-16 02:00:00,79.0,58.0,74.0,0.9,54.0,5.0,7.0,11,4,2,fall,-0.21133422851599998,-5.38637924194,-11.154144287100001,102095.484375,-24.7500152588,-9.63755321503,-17.792053222699998,22.607622146599997,15.0708885193,29.8332862854,-0.135466307402,-56.097885131800005,1.3607201576199999,-1.68468749523,0.962219238281,19.1000003815,44.266681671099995,-16.9353027344
2017-11-16 05:00:00,64.0,46.0,67.0,1.1,60.0,5.0,8.0,11,4,5,fall,-1.2876892089799998,-5.31005859375,-10.7399902344,102027.242188,-24.1499938965,-10.3533887863,-18.6771373749,23.1088542938,15.3968963623,30.1049404144,-0.681279301643,-56.1240081787,0.640112280846,-2.69658684731,0.206970214844,20.1000003815,46.440990448,-16.5435180664
2017-11-16 08:00:00,93.0,69.0,131.0,1.4,61.0,6.0,9.0,11,4,8,fall,-0.410247802734,-6.6952710151699995,-10.3122253418,102016.101562,-23.449996948200003,-10.937401771500001,-20.244140625,23.999296188400002,15.4362182617,29.690145492600003,-1.22968995571,-55.6499481201,0.158132314682,-3.70807123184,-0.258331298828,19.7584934235,47.4548225403,-15.5224609375
2017-11-16 11:00:00,80.0,59.0,96.0,1.3,77.0,13.0,22.0,11,4,11,fall,4.94891357422,-6.20114469528,-9.63519287109,101873.804688,-23.049987793000003,-9.56640148163,-18.4974308014,22.4125919342,14.8843307495,29.344074249299997,-0.296535640955,-56.3499908447,0.775346636772,-2.8259985446900004,3.39694213867,20.415555954000002,48.4654083252,-14.9146728516
2017-11-16 14:00:00,72.0,52.0,68.0,1.0,62.0,30.0,18.0,11,4,14,fall,7.690277099610001,-5.54500722885,-8.25,101587.023438,-22.7499847412,-9.477484703060002,-13.4000616074,23.8336925507,15.9847993851,31.827665329000002,0.00825927685946,-57.14999389649999,2.3987414836900003,-2.97457766533,6.59307861328,21.1975593567,47.3266181946,-14.449981689500001
2017-11-16 17:00:00,63.0,45.0,66.0,0.9,47.0,32.0,12.0,11,4,17,fall,5.33380126953,-8.08090114594,-7.56979370117,101522.242188,-22.6279754639,-10.7672748566,-11.8894777298,24.6266212463,16.026340484600002,32.892665863000005,-0.007321777287869999,-56.449996948199995,0.8894677758220001,-5.522736549380001,6.74444580078,27.8999996185,48.26795578,-14.574432372999999
2017-11-16 20:00:00,79.0,58.0,72.0,1.3,77.0,5.0,8.0,11,4,20,fall,3.55044555664,-9.03489494324,-8.207824707030001,101584.335938,-22.3499908447,-9.69971179962,-11.260156631500001,25.0599651337,16.0284366608,32.7435531616,-0.8137109279629999,-56.2499847412,-0.7043920755390001,-7.32263183594,5.09197998047,30.8000011444,50.655220031700004,-14.296722412100001
2017-11-16 23:00:00,110.0,83.0,116.0,2.1,89.0,6.0,10.0,11,4,23,fall,2.33670043945,-8.45989990234,-8.9162902832,101619.53125,-22.147186279299998,-8.87283706665,-12.6999940872,25.6749992371,14.0627851486,33.0495948792,-0.972624480724,-55.949996948199995,-1.1433324813799999,-6.951757431030001,3.6203613281199996,31.0,51.728313446,-13.8499755859
2017-11-17 02:00:00,93.0,69.0,90.0,1.6,76.0,5.0,2.0,11,4,2,fall,1.5096435546899998,-6.36917448044,-8.9162902832,101685.085938,-22.7203826904,-6.78047847748,-11.832873344400001,25.2619476318,15.494386673,32.0989532471,-0.532702624798,-55.9935760498,-1.68964600563,-6.1831173896800005,2.71710205078,33.2999992371,50.260379791300004,-14.078765869100001
2017-11-17 05:00:00,94.0,70.0,97.0,1.2,80.0,1.0,11.0,11,4,5,fall,2.16873168945,-5.0540843009900005,-9.34997558594,101841.054688,-23.3499908447,-5.5453710555999995,-12.799774169900001,25.0202636719,17.6092662811,32.8999328613,0.571110844612,-55.2500152588,-4.192014217380001,-7.03730964661,3.42465209961,31.0,52.5739440918,-14.8499755859
2017-11-17 08:00:00,77.0,17.0,103.0,0.6,48.0,15.0,5.0,11,4,8,fall,4.254058837890001,-3.2647607326499997,-9.87878417969,102133.382812,-24.2499847412,-4.5697851181,-14.223645210299999,25.2919597626,17.9972553253,34.008605957,1.62933588028,-54.68019104,-5.93233394623,-7.33989953995,4.43997192383,26.6000003815,56.13883209229999,-16.0199890137
2017-11-17 11:00:00,76.0,10.0,101.0,0.3,18.0,56.0,2.0,11,4,11,fall,5.64050292969,-3.3281493187,-11.188812255899999,102403.726562,-25.1500091553,-4.94112300873,-13.5999326706,23.788709640500002,15.0989103317,35.0896568298,2.89556622505,-54.3499908447,-9.22349357605,-5.567221641540001,4.46405029297,15.600000381500001,58.626892089799995,-17.3499908447
2017-11-17 14:00:00,63.0,11.0,75.0,0.3,16.0,59.0,2.0,11,4,14,fall,6.01071166992,-8.48817157745,-13.613494872999999,102490.835938,-25.2500152588,-7.278354167939999,-13.321441650399999,26.8624801636,16.2714176178,39.7106361389,2.12521243095,-53.450012207,-7.76743412018,-11.676692009000002,4.92272949219,12.199999809300001,61.0766601562,-18.090148925799998
2017-11-17 17:00:00,34.0,4.0,34.0,0.3,24.0,50.0,1.0,11,4,17,fall,3.39202880859,-14.5200090408,-16.403686523399998,102760.023438,-24.7499847412,-11.745190620399999,-13.6999883652,27.5235900879,14.5673017502,43.3653106689,1.9925121069,-51.7500152588,-6.3543601036099995,-15.9851703644,3.3800048828099998,11.0,60.816783905,-19.049987793
2017-11-17 20:00:00,56.0,8.0,61.0,0.3,14.0,53.0,1.0,11,4,20,fall,0.451416015625,-18.098020553599998,-17.157043457,103052.554688,-25.8499908447,-15.5881586075,-16.2785396576,20.9642372131,10.1813592911,32.2260055542,0.506684541702,-51.14999389649999,-5.58834695816,-18.2678222656,0.540100097656,12.699999809300001,58.7569999695,-19.049987793
2017-11-17 23:00:00,29.0,3.0,29.0,0.3,14.0,45.0,2.0,11,4,23,fall,-1.36660766602,-14.511279106099998,-16.301452636700002,103198.632812,-26.6500091553,-14.363251686099998,-17.3534488678,18.3638343811,9.25304222107,27.9084320068,1.28482663631,-51.8499908447,-5.47286367416,-15.1177997589,-1.19738769531,11.600000381500001,56.6164932251,-19.4381561279
2017-11-18 02:00:00,25.0,11.0,25.0,0.4,21.0,37.0,4.0,11,4,2,fall,-2.16473388672,-13.180803299,-15.75,103195.171875,-28.2499847412,-14.6415672302,-18.2936954498,16.0241203308,7.919042587280001,27.0245666504,0.678808569908,-51.950012207,-5.07150602341,-12.9748773575,-1.92636108398,13.0,55.7398452759,-20.9662780762
2017-11-18 05:00:00,21.0,7.0,21.0,0.4,23.0,33.0,4.0,11,4,5,fall,-3.14736938477,-14.645336151099999,-16.0764465332,103238.898438,-29.449996948200003,-16.1474895477,-20.3586921692,16.9532375336,9.61292934418,27.4063510895,0.201694324613,-51.7115325928,-3.72558832169,-14.311132430999999,-2.49655151367,14.600000381500001,54.9466629028,-22.0527801514
2017-11-18 08:00:00,37.0,7.0,37.0,0.4,38.0,11.0,1.0,11,4,8,fall,-2.60327148438,-17.573320388800003,-16.0508117676,103222.226562,-29.549987793000003,-20.5499095917,-23.9064998627,16.5332012177,11.2003269196,22.992248535199998,0.880715310574,-52.1515045166,-0.0201904289424,-15.511593818699998,-2.38134765625,14.4000005722,51.1799697876,-22.077331543000003
2017-11-18 11:00:00,24.0,14.0,24.0,0.4,27.0,36.0,3.0,11,4,11,fall,1.12844848633,-18.978525161700002,-14.5345458984,103038.898438,-27.6499938965,-22.907964706399998,-23.8171215057,13.3959007263,10.3022994995,16.787103653,3.2704014778099997,-53.64999389649999,1.2492431402200002,-15.4272356033,-0.24191284179699998,10.1999998093,46.206394195600005,-19.6363372803
2017-11-18 14:00:00,75.0,55.0,71.0,0.5,23.0,77.0,5.0,11,4,14,fall,3.8352050781199996,-16.8029537201,-12.769439697300001,102665.5625,-26.2500152588,-17.7999820709,-21.869672775300003,18.4190788269,13.778569221500002,22.8283138275,3.06072998047,-54.5500183105,2.2886400222799996,-15.821688652,2.4515380859400002,9.0,44.026775360100004,-17.3100280762
