datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-16 11:00:00,21.25,6.59,16.45,101449.0,5.55002,3.61,-5.45,8.42,4.36,6.91,-0.19,-13.55,0.11,3.96,20.06,33.0,6.76,13.05
2015-10-16 14:00:00,25.24,7.6,17.05,101242.0,5.95001,2.08,-5.78,9.17,3.36,6.98,1.29,-12.75,3.69,6.2,23.93,27.7,7.02,13.65
2015-10-16 17:00:00,23.65,9.01,18.95,101135.0,6.95001,1.37,-6.02,8.18,4.37,5.94,1.69,-12.05,1.78,7.06,25.17,32.1,5.1,13.15
2015-10-16 20:00:00,18.25,9.0,18.85,101255.0,7.65002,1.28,-3.68,8.6,4.32,6.33,-0.4,-11.65,1.82,7.8,22.0,38.9,5.3,12.85
2015-10-16 23:00:00,17.25,8.37,18.55,101271.0,7.95001,1.51,0.09,10.45,7.51,6.62,0.41,-11.85,2.39,8.72,20.28,38.5,8.13,12.85
2015-10-17 02:00:00,15.95,10.0,18.55,101274.0,7.45001,2.7,1.39,10.71,8.94,7.63,-0.07,-12.25,2.92,10.0,18.51,36.4,12.6,13.45
2015-10-17 05:00:00,13.05,9.78,17.85,101208.0,6.85001,3.69,2.29,8.75,8.24,9.24,-0.23,-12.45,0.62,7.73,17.72,45.0,14.7,13.85
2015-10-17 08:00:00,16.35,8.8,17.55,101338.0,6.95001,0.7,3.69,7.6,6.3,5.67,-1.04,-13.25,0.48,7.7,15.83,35.4,15.8,14.65
2015-10-17 11:00:00,20.95,6.5,16.55,101264.0,7.15002,1.4,6.59,8.2,5.0,5.0,-0.27,-13.15,-0.24,4.2,19.7,28.7,19.6,14.75
2015-10-17 14:00:00,23.38,-0.3,17.65,101176.0,7.35001,-0.6,-0.03,4.9,2.3,5.3,-0.17,-14.15,0.19,-0.5,22.27,26.6,18.8,15.35
2015-10-17 17:00:00,21.62,-7.0,19.35,101148.0,6.65002,-3.6,-5.86,4.4,1.94,4.8,-0.13,-13.95,-0.46,-2.5,22.79,37.9,15.5,14.75
2015-10-17 20:00:00,17.25,-9.2,19.15,101399.0,5.75,-3.1,-4.7,3.0,2.5,3.9,-0.44,-13.95,-0.95,-5.3,20.73,42.8,14.9,14.35
2015-10-17 23:00:00,17.95,-8.6,17.75,101549.0,4.95001,-1.8,-3.61,-0.4,-0.7,3.7,-0.61,-13.65,-4.26,-11.43,19.36,40.2,13.9,12.45
2015-10-18 02:00:00,16.95,-7.5,15.65,101748.0,4.45001,0.8,-1.3,-0.2,-1.7,4.1,-1.49,-14.05,-6.19,-11.59,17.75,41.7,14.6,10.85
2015-10-18 05:00:00,15.45,-6.79,12.65,101967.0,3.05002,1.11,-0.88,-2.81,-6.66,3.67,-3.16,-14.45,-5.08,-8.75,15.96,43.1,15.5,8.25
2015-10-18 08:00:00,15.15,-3.4,9.05002,102254.0,2.95001,4.2,-1.73,-2.7,-7.1,9.1,-4.35,-14.85,-1.14,-3.2,14.47,42.2,14.7,5.75
2015-10-18 11:00:00,16.8,-0.6,7.55002,102240.0,3.15002,4.1,-0.69,-0.2,-5.4,10.6,-5.3,-15.35,1.93,0.5,15.1,29.9,13.9,4.95001
2015-10-18 14:00:00,17.81,2.5,8.45001,102123.0,3.55002,4.0,1.37,3.9,-3.2,11.9,-3.61,-15.65,2.73,2.6,16.27,23.3,13.6,4.75
2015-10-18 17:00:00,16.15,4.4,8.45001,101990.0,4.25,4.0,1.51,5.5,-2.5,11.8,-2.34,-15.65,4.01,5.6,15.65,20.5,14.1,4.65002
2015-10-18 20:00:00,12.75,9.1,8.05002,102006.0,4.45001,3.7,-0.7,6.3,3.7,13.4,1.11,-15.95,4.54,5.8,12.89,25.0,15.6,4.35001
2015-10-18 23:00:00,11.65,9.0,7.65002,101897.0,5.85001,-0.2,-3.32,7.8,2.8,13.0,1.7,-16.15,3.32,7.7,12.01,33.9,18.2,5.55002
2015-10-19 02:00:00,10.35,4.4,6.35001,101660.0,6.45001,-3.2,-3.89,10.8,3.4,12.4,1.7,-16.15,2.19,8.8,10.96,43.5,15.5,8.25
2015-10-19 05:00:00,8.85001,2.2,6.65002,101447.0,6.75,-3.2,-4.1,8.0,4.9,10.4,0.67,-15.45,1.13,6.5,10.51,51.4,13.5,10.55
2015-10-19 08:00:00,12.05,2.0,6.45001,101409.0,6.85001,-3.5,-7.4,5.3,6.7,9.9,0.1,-14.75,2.26,5.2,11.29,47.5,12.7,12.75
2015-10-19 11:00:00,15.85,0.0,7.75,101265.0,7.05002,-2.0,-6.1,5.6,3.8,10.1,2.12,-14.85,2.5,2.7,14.49,47.9,14.8,13.55
2015-10-19 14:00:00,18.77,-2.5,11.85,100930.0,7.35001,-4.6,-6.8,4.9,3.8,10.98,2.22,-15.15,1.34,-0.2,17.55,36.8,16.8,14.05
2015-10-19 17:00:00,18.07,-4.7,14.95,100851.0,7.05002,-7.73,-7.88,5.11,2.51,6.78,1.27,-14.65,2.02,0.2,18.4,41.8,14.8,14.25
2015-10-19 20:00:00,13.45,-2.66,13.65,101056.0,6.75,-2.44,-4.56,3.7,2.8,3.6,-0.06,-14.65,0.2,4.06,17.15,59.6,12.9,14.75
